PUBLICATION_DATE,NTA_Code,NTA_Name,NTAAbbrev,Baseline,Control_Scenario_Temperature,Planned_Action_Temperature,Percent_Managed_by_Action
5/1/25,BX1071,Hart Island,HrtIsl,83.75,89.74,89.66,-1.28
5/1/25,BX1091,Ferry Point Park-St. Raymond Cemetery,FrryPtPk,85.02,91.1,91.09,-0.16
5/1/25,BX1101,Pelham Parkway-Van Nest,PlhmPkwy,86.83,93.1,92.83,-4.33
5/1/25,BX1102,Morris Park,MrrsPk,86.41,92.64,92.5,-2.31
5/1/25,BX1103,Pelham Gardens,PlhmGrdns,86.34,92.61,92.57,-0.77
5/1/25,BX1104,Allerton,Allrtn,86.66,92.89,92.8,-1.36
5/1/25,BX1161,Hutchinson Metro Center,HtchMtrCtr,86.22,92.45,92.35,-1.65
5/1/25,BX1201,Williamsbridge-Olinville,Wllmsbrdg,86.49,92.73,92.66,-1.1
5/1/25,BX1202,Eastchester-Edenwald-Baychester,Estchstr,85.72,91.84,91.81,-0.39
5/1/25,BX1203,Wakefield-Woodlawn,Wkfld_Wdln,86.28,92.56,92.51,-0.83
5/1/25,BX1271,Woodlawn Cemetery,WdlnCem,83.05,87.63,89.38,38.29
5/1/25,BX2691,Van Cortlandt Park,VnCrtldtPk,79.26,84.19,84.95,15.5
5/1/25,BX2791,Bronx Park,BxPk,86.71,92.86,92.71,-2.42
5/1/25,BX2891,Pelham Bay Park,PlhmByPk,83.17,88.15,88.77,12.28
5/1/25,MN0101,Financial District-Battery Park City,FiDi,86.79,93.14,93.09,-0.72
5/1/25,MN0102,Tribeca-Civic Center,TriBeCa,87.49,93.92,93.81,-1.71
5/1/25,MN0191,The Battery-Governors Island-Ellis Island-Liberty Island,Btry_GvIsl,77.98,83.35,83.36,0.12
5/1/25,MN0201,SoHo-Little Italy-Hudson Square,SoHo,87.73,94.17,94.08,-1.38
5/1/25,MN0202,Greenwich Village,GrnwchVlg,87.49,93.94,93.94,0
5/1/25,MN0203,West Village,WstVlg,86.57,92.9,92.35,-8.7
5/1/25,MN0301,Chinatown-Two Bridges,Chntwn,86.71,93.14,93.1,-0.54
5/1/25,MN0302,Lower East Side,LES,86.61,93.03,93,-0.56
5/1/25,MN0303,East Village,EstVlg,86.67,93.09,93.08,-0.19
5/1/25,MN0401,Chelsea-Hudson Yards,Chls_HdsYd,87.09,93.45,93.36,-1.41
5/1/25,MN0402,Hell's Kitchen,HllsKtchn,87.33,93.72,93.54,-2.87
5/1/25,MN0501,Midtown South-Flatiron-Union Square,MdtwnSth,87.66,94.1,94,-1.64
5/1/25,MN0502,Midtown-Times Square,Mdtwn_TmSq,87.45,93.88,93.82,-0.82
5/1/25,MN0601,Stuyvesant Town-Peter Cooper Village,StyTwn,86.53,92.95,92.94,-0.17
5/1/25,MN0602,Gramercy,Grmrcy,87.42,93.86,93.86,-0.08
5/1/25,MN0603,Murray Hill-Kips Bay,MryHl_KpBy,87.23,93.67,93.61,-0.91
5/1/25,MN0604,East Midtown-Turtle Bay,EstMdtwn,87.57,94.01,93.93,-1.33
5/1/25,MN0661,United Nations,UN,86.39,92.79,92.79,-0.13
5/1/25,MN0701,Upper West Side-Lincoln Square,UWS_LclnSq,87.2,93.61,92.93,-10.6
5/1/25,MN0702,Upper West Side (Central),UWS_C,86.58,93,92.89,-1.74
5/1/25,MN0703,Upper West Side-Manhattan Valley,UWS_MnVly,86.37,92.77,92.72,-0.8
5/1/25,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,87.48,93.93,93.75,-2.71
5/1/25,MN0802,Upper East Side-Carnegie Hill,UES_CrngHl,87.1,93.54,93.17,-5.72
5/1/25,MN0803,Upper East Side-Yorkville,UES_Yrkvl,87.35,93.81,93.56,-3.8
5/1/25,MN0901,Morningside Heights,MrngsdHts,85.51,91.82,91.78,-0.63
5/1/25,MN0902,Manhattanville-West Harlem,Mnhttnvl,83.87,89.98,89.92,-0.97
5/1/25,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,86.08,92.43,92.34,-1.33
5/1/25,MN1001,Harlem (South),Hrlm_S,86.62,93.04,92.82,-3.44
5/1/25,MN1002,Harlem (North),Hrlm_N,86.7,93.12,93.04,-1.27
5/1/25,MN1101,East Harlem (South),EstHrlm_S,86.51,92.9,92.85,-0.8
5/1/25,MN1102,East Harlem (North),EstHrlm_N,86.62,93.04,92.87,-2.71
5/1/25,MN1191,Randall's Island,RndllsIsl,86.93,93.32,93.06,-4.18
5/1/25,MN1201,Washington Heights (South),WshHts_S,86.53,92.94,92.88,-0.96
5/1/25,MN1202,Washington Heights (North),WshHts_N,86.51,92.93,92.88,-0.79
5/1/25,MN1203,Inwood,Inwd,86.55,92.94,92.76,-2.84
5/1/25,MN1291,Highbridge Park,HghbrdgPk,86.46,92.86,92.83,-0.55
5/1/25,MN1292,Inwood Hill Park,InwdHlPk,86.44,92.84,92.71,-1.94
5/1/25,MN6491,Central Park,CntrlPk,86.4,92.77,92.74,-0.57
5/1/25,QN0101,Astoria (North)-Ditmars-Steinway,Astr_N,86.76,93.14,93.07,-1.03
5/1/25,QN0102,Old Astoria-Hallets Point,OldAstr,86.53,92.94,92.91,-0.51
5/1/25,QN0103,Astoria (Central),Astr_C,87.34,93.77,93.66,-1.72
5/1/25,QN0104,Astoria (East)-Woodside (North),Astr_E,86.93,93.33,93.08,-3.85
5/1/25,QN0105,Queensbridge-Ravenswood-Dutch Kills,Qnsbrdg,86.72,93.12,93.04,-1.27
5/1/25,QN0151,Rikers Island,RkrsIsl,87.45,93.89,93.89,-0.14
5/1/25,QN0161,Sunnyside Yards (North),SnnysdYd_N,87.15,93.57,93.21,-5.61
5/1/25,QN0171,St. Michael's Cemetery,StMchlCem,86.29,92.57,92.5,-1.14
5/1/25,QN0191,Astoria Park,AstrPk,86.48,92.88,92.84,-0.74
5/1/25,QN0201,Long Island City-Hunters Point,LIC,87.43,93.83,93.7,-1.98
