StateFIPS,State,CensusTract,Census Tract,Year,Annual number of extreme heat days,Data Comment,,"Heat Metric""Relative Threshold"
36,New York,36001000800,"Albany County, NY - 36001000800",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001000800,"Albany County, NY - 36001000800",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2013,29,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2019,21,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2020,39,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001100,"Albany County, NY - 36001001100",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2014,16,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2017,17,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2018,32,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2020,37,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2021,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2022,27,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001400,"Albany County, NY - 36001001400",2023,23,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2013,30,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2014,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2015,31,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2016,42,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2017,18,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2018,33,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
36,New York,36001001500,"Albany County, NY - 36001001500",2019,19,,,"Heat Metric: Daily Maximum Temperature""Relative Threshold: 90th Percentile"
